,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
32,Kamina,CD,-8.7386,24.9906,61.07,96,99,2.86,overcast clouds
33,Castro,BR,-24.7911,-50.0119,64.02,98,99,2.39,overcast clouds
34,Butaritari,KI,3.0707,172.7902,82.83,74,93,17.11,overcast clouds
35,Sept-Iles,CA,50.2001,-66.3821,0.03,50,0,4.61,clear sky
36,Tocache,PE,-8.1842,-76.5125,70.39,97,56,0.69,broken clouds
37,Upernavik,GL,72.7868,-56.1549,-1.43,97,100,3.06,overcast clouds
38,Hilo,US,19.7297,-155.09,78.53,74,20,9.22,few clouds
39,Kruisfontein,ZA,-34.0033,24.7314,65.88,94,24,9.55,few clouds
40,Saint-Leu,RE,-21.15,55.2833,77.86,76,100,5.57,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,59.49,37,14,4.45,few clouds
42,Ribeira Grande,PT,38.5167,-28.7,59.5,75,4,15.01,clear sky
43,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,13.8,scattered clouds
44,Russell,US,32.3502,-85.1999,40.6,75,0,5.06,clear sky
45,Malpe,IN,13.35,74.7167,70.9,69,90,3.29,overcast clouds
46,Fort Frances,CA,48.5999,-93.4003,8.82,78,100,0.0,overcast clouds
47,Hobart,AU,-42.8794,147.3294,74.05,47,20,1.01,few clouds
48,Busselton,AU,-33.65,115.3333,74.05,63,81,14.0,broken clouds
49,Haines Junction,CA,60.7522,-137.5108,28.35,86,100,1.14,overcast clouds
50,Walvis Bay,NA,-22.9575,14.5053,67.15,88,96,3.44,overcast clouds
51,Tabas,IR,33.5959,56.9244,43.43,60,0,2.86,clear sky
52,Bagdarin,RU,54.4333,113.6,1.26,78,52,1.25,broken clouds
53,Khakurinokhabl,RU,45.0201,40.2291,25.11,83,100,5.35,light snow
54,Torbay,CA,47.6666,-52.7314,44.76,94,100,14.97,moderate rain
55,Port Elizabeth,ZA,-33.918,25.5701,68.09,100,40,16.11,scattered clouds
56,Cascais,PT,38.6979,-9.4215,52.97,68,0,1.01,clear sky
57,Lorengau,PG,-2.0226,147.2712,82.89,76,100,9.51,overcast clouds
58,Douglas,US,41.3,-96.167,42.94,35,0,4.61,clear sky
59,Bluff,NZ,-46.6,168.3333,59.81,58,9,11.59,clear sky
60,Rocha,UY,-34.4833,-54.3333,63.77,87,76,8.14,broken clouds
61,Atar,MR,20.5169,-13.0499,68.7,11,0,4.99,clear sky
62,Zhigansk,RU,66.7697,123.3711,-23.15,97,100,5.32,overcast clouds
63,Dingle,PH,10.9995,122.6711,82.44,68,99,20.09,overcast clouds
64,Vaini,TO,-21.2,-175.2,77.16,94,100,14.97,light rain
65,Qaanaaq,GL,77.484,-69.3632,-0.94,96,100,2.91,overcast clouds
66,Rikitea,PF,-23.1203,-134.9692,79.43,68,100,13.71,overcast clouds
67,Mirandopolis,BR,-21.1336,-51.1017,73.02,90,100,4.12,overcast clouds
68,Lompoc,US,34.6391,-120.4579,60.94,70,0,5.75,clear sky
69,La Primavera,CO,5.4906,-70.4092,84.06,42,78,7.43,broken clouds
70,Martapura,ID,-3.4167,114.85,82.49,78,40,6.91,scattered clouds
71,Dayong,CN,25.0209,118.2898,56.88,66,100,4.99,overcast clouds
72,Dikson,RU,73.5069,80.5464,-21.37,100,98,4.21,overcast clouds
73,Kangaatsiaq,GL,68.3065,-53.4641,-10.46,92,100,7.52,overcast clouds
74,Chokurdakh,RU,70.6333,147.9167,-31.79,100,100,2.15,overcast clouds
75,Lamu,KE,-2.2717,40.902,77.22,89,100,7.11,overcast clouds
76,Sao Miguel,BR,-5.4667,-35.3667,80.92,73,40,10.33,scattered clouds
77,Lamar,US,33.6668,-95.5836,34.25,60,0,6.91,clear sky
78,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,27,0,8.99,clear sky
79,Luderitz,NA,-26.6481,15.1594,66.18,82,94,6.55,overcast clouds
80,Barrow,US,71.2906,-156.7887,-20.18,69,0,10.36,clear sky
81,Pevek,RU,69.7008,170.3133,-26.82,99,29,2.35,scattered clouds
82,Hermanus,ZA,-34.4187,19.2345,71.91,89,64,9.89,broken clouds
83,Salalah,OM,17.0151,54.0924,71.69,73,75,3.44,broken clouds
84,Manado,ID,1.487,124.8455,86.77,74,40,6.91,scattered clouds
85,Constitucion,CL,-35.3333,-72.4167,60.85,69,0,9.51,clear sky
86,Lavrentiya,RU,65.5833,-171.0,-16.33,95,27,10.92,scattered clouds
87,Clyde River,CA,70.4692,-68.5914,-30.77,75,100,5.75,overcast clouds
88,Port Hardy,CA,50.6996,-127.4199,44.78,81,100,8.05,overcast clouds
89,Port Macquarie,AU,-31.4333,152.9167,72.9,61,77,16.24,light rain
90,Lake Elsinore,US,33.6681,-117.3273,61.52,23,0,1.01,clear sky
91,Tombouctou,ML,20.0,-3.0,61.25,13,5,8.05,clear sky
92,Igrim,RU,63.1906,64.4162,-12.3,100,98,4.47,overcast clouds
93,Sal Rei,CV,16.1833,-22.9167,68.56,83,0,19.28,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,29.97,81,92,13.56,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,3.22,51,100,14.97,overcast clouds
96,Pisco,PE,-13.7,-76.2167,68.05,88,40,5.75,scattered clouds
97,Ahipara,NZ,-35.1667,173.1667,74.57,87,100,4.41,light rain
98,Naze,JP,28.3667,129.4833,50.92,64,97,14.25,overcast clouds
99,Zemio,CF,5.0314,25.1361,66.13,27,99,3.38,overcast clouds
100,Yulara,AU,-25.2406,130.9889,85.84,20,0,12.66,clear sky
101,Lebu,CL,-37.6167,-73.65,58.01,84,0,16.4,clear sky
102,Guerrero Negro,MX,27.9769,-114.0611,60.76,55,0,13.04,clear sky
103,Pangkalanbuun,ID,-2.6833,111.6167,89.38,56,100,3.76,light rain
104,Arraial Do Cabo,BR,-22.9661,-42.0278,76.41,87,69,26.08,broken clouds
105,Sajanan,TN,37.0573,9.2426,47.32,92,97,7.02,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,66.51,58,7,4.0,clear sky
107,Codrington,AU,-38.2667,141.9667,79.2,40,56,15.57,broken clouds
108,Kavieng,PG,-2.5744,150.7967,83.82,73,100,7.92,overcast clouds
109,Bengkulu,ID,-3.8004,102.2655,74.26,93,100,11.41,overcast clouds
110,East London,ZA,-33.0153,27.9116,69.66,89,93,16.06,light rain
111,Shumskiy,RU,54.8318,99.1328,25.0,69,100,5.95,overcast clouds
112,San Patricio,US,28.017,-97.5169,44.83,59,0,6.73,clear sky
113,Wattegama,LK,6.7989,81.4808,72.52,69,95,7.52,overcast clouds
114,Dire Dawa,ET,9.5931,41.8661,61.3,45,11,3.69,few clouds
115,Xai-Xai,MZ,-25.0519,33.6442,76.5,74,0,13.96,clear sky
116,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,87,80,14.05,broken clouds
117,Chuy,UY,-33.6971,-53.4616,63.03,92,21,8.32,few clouds
118,Kushmurun,KZ,52.4503,64.6311,15.89,80,100,7.7,overcast clouds
119,Sokoto,NG,13.0609,5.239,62.2,17,0,11.18,clear sky
120,Meulaboh,ID,4.1363,96.1285,81.34,70,92,5.37,overcast clouds
121,Punta Cardon,VE,11.6581,-70.215,77.65,75,3,16.26,clear sky
122,Tasiilaq,GL,65.6145,-37.6368,17.76,55,95,6.93,overcast clouds
123,Dalvik,IS,65.9702,-18.5286,30.13,90,100,23.33,snow
124,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,19.57,broken clouds
125,Ahmadpur,IN,18.7,76.9333,68.29,30,57,7.34,broken clouds
126,Valparaiso,CL,-33.0393,-71.6273,67.48,75,0,5.75,clear sky
127,Millville,US,39.4021,-75.0393,25.95,63,0,3.44,clear sky
128,Bahawalpur,PK,29.4,71.6833,55.85,42,0,6.87,clear sky
129,Axim,GH,4.8699,-2.2405,78.39,88,11,6.33,light rain
130,Bambous Virieux,MU,-20.3428,57.7575,80.22,88,75,10.36,broken clouds
131,Yaan,NG,7.3833,8.5667,75.47,18,1,7.85,clear sky
132,Nikolskoye,RU,59.7035,30.7861,27.72,97,100,4.85,overcast clouds
133,Guilin,CN,25.2819,110.2864,42.91,75,100,5.06,overcast clouds
134,Saint George,US,37.1041,-113.5841,50.59,25,0,1.99,clear sky
135,Kabo,CF,7.6994,18.629,67.15,25,91,3.83,overcast clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,62.1,73,75,3.0,broken clouds
137,Ruteng,ID,-8.6136,120.4721,75.97,61,19,1.77,few clouds
138,Cidreira,BR,-30.1811,-50.2056,73.71,89,86,4.92,overcast clouds
139,Mnogovershinnyy,RU,53.9353,139.9242,2.1,77,100,6.4,overcast clouds
140,Jamestown,US,42.097,-79.2353,12.72,72,0,0.0,clear sky
141,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
142,George,ZA,-33.963,22.4617,60.35,100,100,2.3,fog
143,Kalmunai,LK,7.4167,81.8167,78.82,67,98,6.11,overcast clouds
144,Asau,RO,46.4333,26.4,28.4,92,28,7.11,scattered clouds
145,Storforshei,NO,66.4043,14.5233,19.69,92,100,7.09,overcast clouds
146,Vilyuysk,RU,63.7553,121.6247,-12.96,99,95,2.62,overcast clouds
147,Naliya,IN,23.2667,68.8333,65.84,71,2,1.57,clear sky
148,Quelimane,MZ,-17.8786,36.8883,76.95,88,40,9.22,scattered clouds
149,Muros,ES,42.7762,-9.0603,47.23,81,40,10.18,scattered clouds
150,San Cristobal,VE,7.7669,-72.225,71.78,92,35,1.88,scattered clouds
151,Boralday,KZ,43.3578,76.8594,15.66,86,75,2.24,mist
152,Basudebpur,IN,21.1353,86.7386,65.89,48,68,7.18,broken clouds
153,Surt,LY,31.2089,16.5887,59.63,38,70,7.92,broken clouds
154,Razdolinsk,RU,58.4211,94.6658,15.31,94,100,7.36,overcast clouds
155,Agdas,AZ,40.65,47.4761,24.67,47,6,5.59,clear sky
156,Svetlyy,RU,54.675,20.1347,37.45,85,100,20.65,overcast clouds
157,Half Moon Bay,US,37.4636,-122.4286,59.04,61,0,5.75,clear sky
158,Panama City,PA,8.9936,-79.5197,78.75,78,20,6.91,few clouds
159,Geraldton,AU,-28.7667,114.6,81.01,61,100,18.41,overcast clouds
160,Vozdvizhenka,RU,43.9,131.95,11.95,68,31,8.5,scattered clouds
161,Portland,US,45.5234,-122.6762,47.61,85,40,1.01,scattered clouds
162,Chincha Alta,PE,-13.4099,-76.1323,66.79,84,25,2.77,scattered clouds
163,Gewane,ET,10.1664,40.6453,71.62,76,53,8.61,broken clouds
164,Balsas,BR,-7.5325,-46.0356,74.73,89,80,3.06,broken clouds
165,Ponta Do Sol,PT,32.6667,-17.1,67.12,50,53,12.95,broken clouds
166,Hamilton,US,39.1834,-84.5333,19.36,87,0,1.01,clear sky
167,Khudumelapye,BW,-23.8833,24.75,68.81,71,82,13.53,broken clouds
168,Deep River,CA,46.1001,-77.4995,-0.06,96,91,2.21,overcast clouds
169,Nsukka,NG,6.8561,7.3927,68.13,24,13,2.42,few clouds
170,Victor Harbor,AU,-35.5667,138.6167,86.72,49,75,12.46,broken clouds
171,San,ML,13.3034,-4.8956,68.49,11,0,8.34,clear sky
172,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,40,9.22,scattered clouds
173,Souillac,MU,-20.5167,57.5167,80.37,88,75,10.36,broken clouds
174,Formosa,AR,-26.1775,-58.1781,76.98,53,0,10.36,clear sky
175,Hobyo,SO,5.3505,48.5268,74.75,73,11,13.53,few clouds
176,Port Alfred,ZA,-33.5906,26.891,70.2,88,49,25.12,scattered clouds
177,Aksay,RU,47.26,39.87,25.02,84,99,5.99,overcast clouds
178,Airai,TL,-8.9266,125.4092,73.54,65,62,2.8,broken clouds
179,Filiatra,GR,37.15,21.5833,52.7,82,50,5.23,scattered clouds
180,Samarai,PG,-10.6167,150.6667,84.79,71,100,7.29,overcast clouds
181,Cherskiy,RU,68.75,161.3,-28.55,98,24,0.98,few clouds
182,Magadan,RU,59.5667,150.8,13.53,68,16,11.1,few clouds
183,Ancud,CL,-41.8697,-73.8203,59.23,86,83,2.59,broken clouds
184,Mumbwa,ZM,-14.9783,27.0619,63.37,98,100,3.22,light rain
185,Erenhot,CN,43.6475,111.9767,9.21,76,5,8.79,clear sky
186,Astana,KZ,51.1801,71.446,6.75,56,0,6.71,clear sky
187,Bredasdorp,ZA,-34.5322,20.0403,67.28,82,51,11.5,broken clouds
188,Bandarbeyla,SO,9.4942,50.8122,72.9,77,9,6.31,clear sky
189,Yanam,IN,16.7333,82.2167,70.2,60,14,7.27,few clouds
190,Gravdal,NO,68.1214,13.5031,35.94,83,30,23.91,light rain
191,Hoa Binh,VN,20.8133,105.3383,53.49,86,100,0.38,overcast clouds
192,Rio Gallegos,AR,-51.6226,-69.2181,60.85,59,0,6.91,clear sky
193,Uvat,RU,59.1433,68.8953,13.21,95,100,3.11,overcast clouds
194,Bullhead City,US,35.1478,-114.5683,63.21,14,0,19.57,clear sky
195,Hasaki,JP,35.7333,140.8333,46.29,30,0,15.7,clear sky
196,Kitwe,ZM,-12.7961,28.2477,62.82,99,100,4.25,light rain
197,Dengzhou,CN,37.8086,120.7508,33.98,44,68,10.09,broken clouds
198,Katsuura,JP,35.1333,140.3,42.84,30,31,8.37,scattered clouds
199,Yerbogachen,RU,61.2767,108.0108,12.69,94,100,3.27,light snow
200,Leningradskiy,RU,69.3833,178.4167,-21.62,97,18,3.04,few clouds
201,Thompson,CA,55.7435,-97.8558,-23.64,76,40,3.44,scattered clouds
202,Banjar,ID,-8.19,114.9675,85.91,67,12,4.09,heavy intensity rain
203,Port Lincoln,AU,-34.7333,135.8667,78.3,48,7,20.8,clear sky
204,Leeton,AU,-34.5667,146.4,80.89,34,4,16.11,clear sky
205,Kribi,CM,2.95,9.9167,77.68,87,44,4.65,scattered clouds
206,Padang,ID,-0.9492,100.3543,80.65,87,100,3.38,overcast clouds
207,Porbandar,IN,21.6422,69.6093,66.16,70,0,3.94,clear sky
208,Semey,KZ,50.4111,80.2275,-12.78,77,0,4.47,clear sky
209,Alice Springs,AU,-23.7,133.8833,81.95,30,0,6.91,clear sky
210,Saint Anthony,US,45.0205,-93.218,26.15,73,40,3.44,scattered clouds
211,Dawei,MM,14.0833,98.2,85.42,54,85,2.77,overcast clouds
212,Malindi,KE,-3.2175,40.1191,75.79,89,100,7.78,overcast clouds
213,Khatanga,RU,71.9667,102.5,-20.94,98,99,6.02,overcast clouds
214,Hofn,IS,64.2539,-15.2082,30.9,64,100,14.32,overcast clouds
215,Minot,US,48.2325,-101.2963,34.79,80,100,6.91,mist
216,Nabire,ID,-3.3667,135.4833,86.27,64,100,5.99,overcast clouds
217,Soc Trang,VN,9.6033,105.98,80.56,48,90,10.83,overcast clouds
218,Townsville,AU,-19.25,146.8,83.28,58,100,12.66,overcast clouds
219,Qaqortoq,GL,60.7167,-46.0333,0.1,74,100,4.45,overcast clouds
220,Juneau,US,58.3019,-134.4197,37.85,96,100,5.99,moderate rain
221,Pascagoula,US,30.3658,-88.5561,39.42,89,0,0.0,clear sky
222,Kungurtug,RU,50.5994,97.5228,-2.27,83,48,0.89,scattered clouds
223,San Quintin,MX,30.4833,-115.95,56.66,45,0,5.12,clear sky
224,Ugoofaaru,MV,5.6667,73.0,81.07,65,93,7.36,overcast clouds
225,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,86,100,20.13,light shower snow
226,Biskamzha,RU,53.4497,89.5272,17.08,82,53,2.93,broken clouds
227,Raudeberg,NO,61.9875,5.1352,36.86,88,100,15.99,light snow
228,Dakar,SN,14.6937,-17.4441,69.93,94,0,6.91,clear sky
229,Saldanha,ZA,-33.0117,17.9442,64.45,71,52,5.75,broken clouds
230,Skopin,RU,53.8249,39.5505,2.37,100,89,7.18,light snow
231,Aguimes,ES,27.9054,-15.4461,66.67,34,0,8.05,clear sky
232,Baherden,TM,38.4362,57.4316,40.5,84,54,15.26,broken clouds
233,Candolim,IN,15.5181,73.7626,68.0,94,39,2.3,mist
234,Caravelas,BR,-17.7125,-39.2481,75.09,90,15,4.94,few clouds
235,Hualmay,PE,-11.0964,-77.6139,69.89,83,100,8.28,overcast clouds
236,Santa Maria,BR,-29.6842,-53.8069,72.7,88,0,4.61,clear sky
237,Nagato,JP,34.3833,131.2,39.15,51,27,23.24,scattered clouds
238,Semnan,IR,35.5729,53.3971,35.44,48,0,2.3,clear sky
239,Canutama,BR,-6.5339,-64.3831,71.13,95,100,1.7,overcast clouds
240,Bathurst,AU,-33.4166,149.5806,74.71,62,48,3.0,scattered clouds
241,Makakilo City,US,21.3469,-158.0858,80.92,58,40,9.22,scattered clouds
242,Brawley,US,32.9787,-115.5303,60.17,23,0,4.61,clear sky
243,Arriaga,MX,16.2333,-93.9,65.25,71,47,21.07,scattered clouds
244,Fortuna,US,40.5982,-124.1573,48.65,90,20,0.0,few clouds
245,Sakakah,SA,29.9697,40.2064,44.17,79,4,5.97,clear sky
246,Kokkola,FI,63.8385,23.1307,28.56,93,100,12.66,overcast clouds
247,Lukovetskiy,RU,64.2956,41.9211,3.18,94,16,6.73,few clouds
248,Sur,OM,22.5667,59.5289,70.45,44,0,7.29,clear sky
249,Harper,LR,4.375,-7.7169,78.49,87,39,5.19,light rain
250,Usinsk,RU,65.9939,57.5281,-12.33,99,97,6.15,overcast clouds
251,Taltal,CL,-25.4,-70.4833,67.68,76,18,3.44,few clouds
252,Vitim,RU,59.4511,112.5578,12.06,94,100,6.73,light snow
253,Novosil,RU,52.9739,37.0405,20.55,95,100,10.07,light snow
254,Abeche,TD,13.8292,20.8324,60.55,18,53,11.86,broken clouds
255,Sidney,AU,-33.8679,151.2073,77.34,58,75,5.99,broken clouds
256,Broken Hill,AU,-31.95,141.4333,80.31,28,40,16.11,scattered clouds
257,Dongsheng,CN,39.8161,109.9776,16.03,41,100,5.3,overcast clouds
258,Cockburn Town,TC,21.4612,-71.1419,76.08,68,0,18.25,clear sky
259,Tilichiki,RU,60.4667,166.1,-3.15,77,3,8.75,clear sky
260,Okha,RU,53.5739,142.9478,4.84,87,100,19.98,overcast clouds
261,Hami,CN,42.8,93.45,28.49,26,100,10.02,overcast clouds
262,Kelso,US,46.1468,-122.9084,47.17,87,0,5.75,clear sky
263,Ouahigouya,BF,13.5828,-2.4216,64.4,15,0,10.96,clear sky
264,Poum,NC,-20.2333,164.0167,79.54,89,100,14.05,light rain
265,Yumen,CN,40.2833,97.2,15.82,64,100,17.78,overcast clouds
266,Kiunga,PG,-6.1219,141.2906,92.91,46,89,3.27,overcast clouds
267,Caiaponia,BR,-16.9567,-51.8103,69.1,90,100,2.68,overcast clouds
268,Bagan,RU,54.1001,77.6646,5.58,82,87,9.04,overcast clouds
269,Jiaocheng,CN,24.6774,116.1389,57.0,72,100,1.21,overcast clouds
270,Sobolevo,RU,54.4299,31.8996,29.95,90,95,13.13,snow
271,Bull Savanna,JM,17.8868,-77.5902,69.62,68,6,4.81,clear sky
272,Pacific Grove,US,36.6177,-121.9166,59.23,66,0,1.01,clear sky
273,Lagoa,PT,39.05,-27.9833,58.5,77,3,15.73,clear sky
274,Iqaluit,CA,63.7506,-68.5145,-31.27,68,40,4.61,scattered clouds
275,Husavik,IS,66.0449,-17.3389,30.11,81,100,22.12,light snow
276,Giyani,ZA,-23.3025,30.7187,68.92,80,100,12.44,overcast clouds
277,Rawson,AR,-43.3002,-65.1023,60.19,56,89,12.21,overcast clouds
278,Calatayud,ES,41.3535,-1.6432,46.98,66,1,2.04,clear sky
279,Nanortalik,GL,60.1432,-45.2371,9.09,61,100,13.27,overcast clouds
280,Grand Gaube,MU,-20.0064,57.6608,80.38,76,100,5.01,overcast clouds
281,Ixtapa,MX,20.7,-105.2,66.2,90,55,3.56,broken clouds
282,Marawi,PH,7.9986,124.2928,74.64,53,57,6.31,broken clouds
283,Provideniya,RU,64.3833,-173.3,-2.67,78,0,12.41,clear sky
284,Redlands,US,34.0556,-117.1825,61.21,23,0,1.99,clear sky
285,Sabaudia,IT,41.3003,13.0282,52.92,79,99,4.07,overcast clouds
286,Paamiut,GL,61.994,-49.6678,-1.64,85,100,8.57,overcast clouds
287,Ust-Ilimsk,RU,58.0006,102.6619,16.79,91,100,9.8,overcast clouds
288,Talnakh,RU,69.4865,88.3972,-9.8,100,100,2.84,overcast clouds
289,Lusambo,CD,-4.9667,23.45,67.33,99,51,0.78,light rain
290,Shashi,CN,30.3072,112.2447,35.15,98,100,8.88,snow
291,Toora-Khem,RU,52.4675,96.11,-1.53,91,97,1.57,overcast clouds
292,Kenai,US,60.5544,-151.2583,29.03,86,100,13.8,overcast clouds
293,Callaway,US,30.153,-85.5699,46.33,64,0,1.01,clear sky
294,Cururupu,BR,-1.8283,-44.8683,74.68,94,100,2.68,overcast clouds
295,Ukiah,US,39.1502,-123.2078,57.65,65,0,0.0,clear sky
296,Berkakit,RU,56.5807,124.7681,-6.36,98,97,4.85,overcast clouds
297,Bose,IT,45.4612,8.0137,42.22,90,1,3.62,clear sky
298,Nicoya,CR,10.1483,-85.452,76.55,68,5,10.56,clear sky
299,Etropole,BG,42.8333,24.0,39.15,81,7,0.92,clear sky
300,Firovo,RU,57.4814,33.7021,18.86,96,100,5.68,light snow
301,General Roca,AR,-39.0333,-67.5833,68.4,36,99,7.9,light rain
302,Shancheng,CN,34.7953,116.0817,38.19,24,100,4.34,overcast clouds
303,Manggar,ID,-2.8833,108.2667,82.26,78,100,10.27,overcast clouds
304,Komsomolskiy,UZ,40.4272,71.7189,38.62,41,100,2.3,overcast clouds
305,Slave Lake,CA,55.2834,-114.769,21.18,86,100,0.0,overcast clouds
306,Ostrovnoy,RU,68.0531,39.5131,14.65,83,100,28.36,overcast clouds
307,Ingham,US,42.6,-84.3833,17.37,83,0,10.36,clear sky
308,Bajil,YE,15.0584,43.2851,73.72,75,58,9.84,broken clouds
309,Maine-Soroa,NE,13.2114,12.0241,58.57,34,0,10.42,clear sky
310,Karratha,AU,-20.7377,116.8463,92.7,52,52,14.61,broken clouds
311,Domoni,KM,-12.2569,44.5319,79.29,83,95,6.91,overcast clouds
312,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,99,8.05,overcast clouds
313,Chicama,PE,-7.8447,-79.1469,66.74,78,53,5.46,broken clouds
314,Bontang,ID,0.1333,117.5,83.93,68,100,9.17,overcast clouds
315,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.73,85,1,22.17,clear sky
316,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,100,14.34,light rain
317,Wukari,NG,7.85,9.7833,70.18,21,0,7.34,clear sky
318,Hohhot,CN,40.8106,111.6522,16.09,45,0,4.47,clear sky
319,Ankazoabo,MG,-22.2833,44.5167,72.59,89,100,20.67,light rain
320,Goderich,CA,43.7501,-81.7165,16.92,73,93,8.05,overcast clouds
321,Opuwo,NA,-18.0607,13.84,64.74,54,96,1.92,overcast clouds
322,Sitka,US,57.0531,-135.33,42.69,75,100,25.32,light rain
323,Henties Bay,NA,-22.116,14.2845,66.85,78,96,2.82,overcast clouds
324,Yar-Sale,RU,66.8333,70.8333,-16.22,100,85,3.83,overcast clouds
325,Yeppoon,AU,-23.1333,150.7333,82.18,56,14,20.07,few clouds
326,Belyy Yar,RU,53.6039,91.3903,-14.91,84,78,0.0,smoke
327,Akita,JP,39.7167,140.1167,27.54,74,75,11.5,snow
328,Yarada,IN,17.65,83.2667,71.92,73,20,3.44,mist
329,Bubaque,GW,11.2833,-15.8333,77.65,63,1,7.36,clear sky
330,Qarqin,AF,37.4185,66.0436,47.46,84,100,13.87,light rain
331,Lasa,IT,46.6166,10.7002,36.86,41,4,3.44,clear sky
332,Kaabong,UG,3.4836,34.1492,66.88,47,100,2.73,overcast clouds
333,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,40,13.8,scattered clouds
334,Natal,BR,-5.795,-35.2094,80.82,78,20,8.05,few clouds
335,Isaccea,RO,45.2667,28.4667,34.43,83,1,7.31,clear sky
336,Aswan,EG,24.0934,32.907,49.3,53,0,5.75,clear sky
337,Felipe Carrillo Puerto,MX,19.5833,-88.05,68.76,97,100,5.14,overcast clouds
338,Araceli,PH,10.5529,119.9913,80.33,78,55,25.12,broken clouds
339,Batsfjord,NO,70.6345,29.7185,22.71,85,73,22.06,broken clouds
340,Isangel,VU,-19.55,169.2667,81.95,85,83,16.55,broken clouds
341,Piacabucu,BR,-10.4056,-36.4344,77.61,79,57,7.2,broken clouds
342,North Bend,US,43.4065,-124.2243,48.92,94,0,4.61,clear sky
343,Bam,IR,29.106,58.357,49.89,47,35,5.73,scattered clouds
344,Auki,SB,-8.7676,160.7034,83.98,76,72,8.79,broken clouds
345,Abu Kamal,SY,34.4506,40.9171,45.57,67,11,9.13,few clouds
346,Roald,NO,62.5833,6.1333,37.0,93,100,40.29,snow
347,San Ramon,US,37.7799,-121.978,56.52,62,0,1.99,clear sky
348,Ayan,RU,56.45,138.1667,-2.04,64,2,9.44,clear sky
349,Broome,US,42.2506,-75.833,5.97,59,0,1.99,clear sky
350,Nichinan,JP,31.6,131.3667,44.28,43,48,11.56,scattered clouds
